"Proposta","Processo","Endereço","Distrito","Área Terreno (m2)","Área Excedente (m2)","Valor Contrapartida (R$)"
"734","2007-0.205.048-9","R DIRCE 468","VILA GUILHERME","1.300,00","171,38","23.078,72"
"735","2007-0.324.196-2","RUA H2    VILA SUZANA VSO 0","VILA SONIA","5.060,00","4.697,85","917.659,23"
"736","2006-0.207.738-5","AV REGENTE FEIJO 1739","VILA FORMOSA","116.724,00","5.326,74","1.030.841,38"
"737","2008-0.010.120-7","R SANTA ELVIRA 149","TATUAPE","6.298,00","3.261,34","322.853,09"
"738","2007-0.286.866-0","R BOA ESPERANCA 267","CARRAO","17.985,25","8.814,76","488.690,29"
"739","2007-0.064.973-1","R BELCHIOR DE AZEVEDO 156","VILA LEOPOLDINA","17.279,02","25.917,58","6.720.635,83"
"740","2007-0.086.041-6","R DO ORATORIO X R LITUANIA X R FRANCISCO EUGENIO 0","MOOCA","7.275,52","3.340,47","568.864,00"
"741","2007-0.331.807-8","R  COSTA BARROS   GLEBA A HMP X R ERVA IMPERIAL  GLEBA B HIS 0","SAO LUCAS","19.704,00","3.644,56","0,00"
"741","2007-0.331.807-8","R  COSTA BARROS   GLEBA A HMP X R ERVA IMPERIAL  GLEBA B HIS 0","SAO LUCAS","19.704,00","4.849,98","0,00"
"742","2007-0.333.783-8","R CANDIDO LACERDA X R ALONSO CALHAMARES 321","VILA FORMOSA","1.995,33","3.750,02","690.393,68"
"743","2007-0.286.897-0","R EMILIO MALLET X R CANTAGALO 367","TATUAPE","6.894,43","6.863,78","1.305.037,95"
"744","2007-0.041.069-0","R PADRE LANDELL DE MOURA 320","VILA FORMOSA","1.645,00","1.863,25","471.059,41"
"745","2005-0.021.847-8","R BRAS CARDOSO 215","MOEMA","952,58","952,58","1.303.069,43"
"746","2007-0.088.921-0","AV DOUTOR RICARDO JAFET 02340","VILA MARIANA","2.034,00","93,08","23.195,54"
"747","2007-0.385.260-0","R INCONFIDENCIA MINEIRA 0","ARICANDUVA","3.000,00","1.487,40","85.995,52"
"748","2007-0.182.824-9","R MIGUEL YUNES 0","CAMPO GRANDE","8.000,00","11.972,44","820.998,10"
"749","2008-0.037.886-1","R  MAESTRO ARTUR ELIAS KAUFFMANN 48","AGUA RASA","147,00","27,08","3.462,12"
"750","2003-0.332.431-3","R ANTONIO DE LUCENA X R CANTAGALO 77","CARRAO","7.700,00","7.700,00","355.566,75"
"751","2007-0.113.718-1","R ANALIA FRANCO 311","AGUA RASA","2.072,36","2.071,22","220.634,64"
"752","2007-0.172.267-0","R FAGUNDES 121","LIBERDADE","1.273,60","1.009,29","221.078,92"
"753","2007-0.178.617-1","R FREDERICO GUARINON X R ASCENCIONAL 0","VILA ANDRADE","3.640,00","3.318,59","837.744,86"
"754","2007-0.068.953-9","R TABOR 647","IPIRANGA","25.768,09","5.900,17","871.785,52"
"755","2007-0.174.134-8","R  ENG  GUILHERME CRISTIANO FRENDER 01141 1546","ARICANDUVA","3.000,00","2.972,80","172.142,96"
"756","2007-0.295.002-1","R JACARACANGA 255","VILA FORMOSA","3.057,93","1.524,79","123.160,34"
"757","2007-0.242.045-6","R TRAJANO REIS 777","VILA SONIA","19.661,00","9.773,61","401.695,37"
"758","2007-0.323.731-0","R DR CARLOS GUIMARAES X R IVINHEIMA 82","BELEM","822,79","1.221,59","0,00"
"759","2007-0.157.669-0","R  TAQUARI 666","MOOCA","4.898,00","7.345,40","1.300.223,94"
"760","2007-0.392.845-3","R  DOM ANTONIO BARREIROS 00093","CURSINO","4.283,93","8.567,66","1.668.586,06"
"761","2008-0.090.333-8","R RIO DO PEIXE 689","VILA PRUDENTE","256,30","57,00","8.296,92"
"762","2006-0.329.977-2","R ORLANDO CALISTO 51","VILA PRUDENTE","94,10","6,72","738,94"
"763","2007-0.243.918-1","R MANUEL DA NOBREGA 586","VILA MARIANA","2.080,23","838,06","468.322,18"
"764","2008-0.078.318-9","R  BARAO DE ITAMARACA 45","CARRAO","182,40","28,68","3.416,48"
"765","2006-0.215.856-3","R CESARIO ALVIM 174","BELEM","590,00","151,25","21.310,52"
"766","2008-0.014.297-3","R PROFESSOR NOBIL MARCACINI 0","JARAGUA","8.501,10","116,22","637,00"
"766","2008-0.014.297-3","R PROFESSOR NOBIL MARCACINI 0","JARAGUA","8.501,10","258,68","787,68"
"767","2006-0.335.292-4","AV RIO BRANCO 1564","SANTA CECILIA","3.732,56","4.618,44","2.672.524,96"
"768","2007-0.132.583-2","R VICENTINA GOMES 99","CAMPO GRANDE","6.799,00","10.198,42","1.848.137,28"
"769","2004-0.295.711-0","R CIDADE DE RIO PARDO X R FRANCISCO PESSOA 0","VILA ANDRADE","3.541,10","1.756,31","181.035,17"
"770","2005-0.022.323-4","AV DIREITOS HUMANOS 1201","MANDAQUI","17.425,98","3.717,04","266.638,15"
"771","2007-0.381.976-0","R DOMINGOS DE MORAIS 1018","VILA MARIANA","969,00","731,75","430.858,06"
"772","2008-0.057.127-0","AV WALDEMAR CARLOS PEREIRA 1808","VILA MATILDE","120,00","46,92","6.902,82"
"773","2008-0.018.176-6","R AMAPA 244","AGUA RASA","3.337,45","2.211,85","212.682,65"
"774","2008-0.042.838-9","AV ENGO ALBERTO DE ZAGOTTIS 1199","CAMPO GRANDE","3.963,30","1.975,19","227.802,61"
"775","2007-0.136.315-7","R GALENO DE CASTRO 730","CAMPO GRANDE","9.164,00","3.080,00","558.022,08"
"776","2007-0.327.063-6","AV CAMILO CASTELO BRANCO 55","CURSINO","1.867,72","3.697,12","720.028,91"
"777","2007-0.395.097-1","R CRUZ DE MALTA 1168","TUCURUVI","1.440,00","1.281,01","96.747,51"
"778","2007-0.335.905-0","R  MINISTRO JESUINO CARDOSO 633","ITAIM BIBI","800,00","1.171,33","1.019.830,18"
"779","2007-0.101.446-2","R GENERAL BAGNUOLO 00559 569","VILA PRUDENTE","1.876,92","1.832,36","142.726,19"
"780","2007-0.277.792-3","R  CAPOTE VALENTE 00448","JARDIM PAULISTA","1.469,65","710,77","283.523,31"
"781","2008-0.080.910-2","R  IBO 99999","AGUA RASA","2.743,81","2.743,62","292.261,38"
"782","2007-0.176.532-8","R  DIOGO JACOME 00818","MOEMA","1.323,53","782,21","597.159,14"
"783","2007-0.234.130-0","AV MANUEL ANTONIO GONCALVES 00314","VILA MEDEIROS","339,00","59,62","4.821,71"
"784","2007-0.166.472-6","R  CAMBURIU 00639","LAPA","2.797,63","4.191,68","719.443,19"
"785","2006-0.102.863-1","R  SEBASTIAO N.BOTELHO 00047 JD BONFIGLIOLI","BUTANTA","1.185,72","93,27","16.143,42"
"786","2002-0.276.344-3","AV DOS JAMARIS 00772","MOEMA","900,00","1.081,74","618.243,62"
"787","2005-0.235.727-0","R  MARIA CANDIDA 00905 915","VILA GUILHERME","1.000,00","842,87","66.269,81"
"788","2003-0.330.998-5","R  OSCAR FREIRE 02239","JARDIM PAULISTA","2.013,25","963,06","415.186,72"
"789","2007-0.040.970-6","R  GUIHEI VATANABE 99999","MORUMBI","4.884,15","2.798,38","662.390,54"
"790","2007-0.208.603-3","R  MARCOS LOPES 00084","MOEMA","1.540,50","1.540,27","994.817,27"
"791","2004-0.160.857-0","R  SAO JORGE 00469","TATUAPE","5.217,00","9.773,49","1.956.173,80"
"792","2008-0.072.824-2","AV DOUTOR GASTAO VIDIGAL 01132","VILA LEOPOLDINA","13.524,00","1.835,43","889.816,46"
"792","2008-0.072.824-2","AV DOUTOR GASTAO VIDIGAL 01132","VILA LEOPOLDINA","13.524,00","6.624,90","2.152.085,52"
"792","2008-0.072.824-2","AV DOUTOR GASTAO VIDIGAL 01132","VILA LEOPOLDINA","13.524,00","11.816,10","3.358.631,90"
"793","2008-0.118.573-0","R  TEOFILO DIAS 00170","AGUA RASA","3.780,00","3.770,01","401.596,55"
"794","2007-0.291.863-2","R  AURELIA 99999","LAPA","4.852,00","5.102,04","1.183.989,61"
"795","2007-0.247.993-0","R  ROMA 00323","LAPA","2.421,68","1.204,41","190.959,21"
"796","2007-0.253.165-7","AV MOFARREJ 00684 706 710","VILA LEOPOLDINA","11.328,15","5.445,09","1.549.933,97"
"796","2007-0.253.165-7","AV MOFARREJ 00684 706 710","VILA LEOPOLDINA","11.328,15","11.546,19","3.286.599,89"
"797","2007-0.232.429-5","R  MUNIZ DE SOUSA 00591 E 593","LIBERDADE","191,59","76,61","31.106,88"
"798","2007-0.193.384-0","ES DO CAMPO LIMPO 00459 ESTRADA ITAPECER","CAPAO REDONDO","27.919,83","4.334,62","197.017,15"
"799","2002-0.187.871-9","AV ELISIO TEIXEIRA LEITE 02141","FREGUESIA DO O","1.465,00","732,36","65.637,77"
"800","2008-0.023.102-0","R  ASSUNGUI 00692","CURSINO","2.967,36","5.933,57","1.155.586,49"
"801","2008-0.115.978-0","R PROF. RODOLFO SAO TIAGO 00075","BELEM","0,00","13.341,00","0,00"
"802","2007-0.344.839-7","R NOSSA SENHORA DAS MERCES 00865 867 869 877 889","SACOMA","4.507,62","4.814,48","360.031,63"
"803","2008-0.099.443-0","PC ISAI LEIRNER 00089 E 93","BUTANTA","331,30","29,81","5.940,63"
"804","2008-0.094.404-2","R  FRANCISCO PESSOA 99999 LT 15 QD 155","VILA ANDRADE","9.176,80","4.574,14","419.101,00"
"805","2006-0.101.104-6","R  BRESSER 01884","MOOCA","6.153,42","24.512,85","1.286.770,19"
"806","2007-0.165.331-7","R  SILVANO DE ALMEIDA 00140","LIMAO","4.692,37","2.550,00","260.559,00"
"807","2007-0.333.412-0","R  CRISTIANO VIANA 00920","JARDIM PAULISTA","1.780,30","125,87","132.877,18"
"808","2008-0.068.061-4","R  TUPUJU 99999 PQ CONTINENTAL","JAGUARE","6.461,49","2.491,51","205.489,78"
"809","2007-0.392.608-6","R  JOSE ATALIBA ORTIZ 99999 LT 53 54 55 QD 9","SAO DOMINGOS","2.550,00","1.273,28","83.249,59"
"810","2008-0.151.334-7","R  LEAIS PAULISTANOS 00255 269 283 247 315","IPIRANGA","5.928,00","11.676,50","1.818.941,82"
"811","2007-0.384.730-5","R  DJALMA PESSOLATO 99999","CIDADE DUTRA","1.585,87","2.202,29","135.850,46"
"812","2007-0.351.380-6","R  MARECHAL BARBACENA 01161","VILA FORMOSA","1.750,00","3.496,41","643.703,07"
"813","2005-0.018.322-4","R  BELCHIOR DE AZEVEDO 00157 197 205","VILA LEOPOLDINA","1.544,07","740,36","219.407,17"
"814","2007-0.328.788-1","R  VERGUEIRO 04310","VILA MARIANA","740,00","705,44","0,00"
"815","2007-0.379.330-2","R  DOMINGOS DE MORAIS 01144 1146 1148 1150","VILA MARIANA","1.508,79","775,39","0,00"
"816","2007-0.257.461-5","AV EMBAIXADOR MACEDO SOARES 01037","LAPA","5.559,42","1.454,38","469.322,61"
"817","2007-0.271.546-4","R PRIMEIRO DE AGOSTO 00253","CURSINO","2.332,98","242,73","37.338,45"
"817","2007-0.271.546-4","R PRIMEIRO DE AGOSTO 00253","CURSINO","2.332,98","502,79","42.968,18"
"818","2007-0.361.639-7","R IBITINGA 00143 143 FDS","AGUA RASA","1.750,00","1.686,53","190.442,97"
"819","2008-0.015.813-6","AV MOFARREJ 01500","VILA LEOPOLDINA","8.573,00","12.797,68","3.436.701,78"
"820","2008-0.185.295-8","AV MOFARREJ 01130","VILA LEOPOLDINA","6.294,00","9.440,83","2.535.249,93"
"821","2007-0.361.064-0","R  DOUTOR LUIZ MIGLIANO 99999","VILA ANDRADE","31.974,45","20.972,20","4.827.989,19"
"821","2007-0.361.064-0","R  DOUTOR LUIZ MIGLIANO 99999","VILA ANDRADE","31.974,45","8.026,36","1.055.883,71"
"822","2007-0.365.606-2","R  GIRASSOL 01206","PINHEIROS","711,00","588,98","205.763,70"
"823","2006-0.159.225-1","R  CORONEL BENTO BICUDO 01030 1034FDS E1034BXS","PIRITUBA","1.300,32","276,68","38.969,55"
"824","2007-0.173.885-1","R  TUPANACI 00164","CURSINO","1.000,00","1.971,16","383.891,29"
"825","2007-0.390.399-0","AV SANTA CATARINA 01288","JABAQUARA","3.600,00","1.800,00","239.716,80"
"826","2003-0.328.350-1","AL DOS ANAPURUS 01071","MOEMA","2.000,00","2.000,00","648.144,00"
"827","2006-0.342.512-3","R  CIPIAO 00471","LAPA","1.904,60","936,52","148.485,25"
"828","2007-0.377.454-5","AL GLETE 00700","SANTA CECILIA","1.362,46","604,55","182.240,39"
"829","2008-0.094.475-1","R  LUIZA CANERO 00124 126 E 130","AGUA RASA","295,00","33,77","5.945,48"
"830","2004-0.155.646-4","R HENRI DUNANT 00157 LT 12","SANTO AMARO","1.087,96","31,53","7.512,09"
"831","2006-0.004.190-1","R  VERGUEIRO 01723 1737 1739","VILA MARIANA","1.030,00","3.135,79","1.132.318,09"
"832","2007-0.289.208-0","R  HERMANO RIBEIRO DA SILVA 00264","MOEMA","2.504,93","2.504,93","2.819.819,74"
"833","2007-0.382.340-6","R  ESTELA BORGES MORATO 00665 6/7 QD D","LIMAO","2.367,65","670,92","28.140,40"
"834","2008-0.071.895-6","R  DOMINGOS LOPES DA SILVA 99999 LT 6  QD 5","VILA ANDRADE","2.438,00","1.205,60","166.835,75"
"835","2008-0.154.294-0","R  JORGE AMERICANO 00225 LT 21 QD 7","LAPA","4.336,00","2.168,00","313.024,51"
"836","2008-0.108.934-0","R  DOUTOR BARROS CRUZ 00000 LT 36 QD 8","VILA MARIANA","3.074,00","1.892,66","533.919,39"
"837","2007-0.295.710-7","R  WISARD 00305","PINHEIROS","1.118,56","1.117,75","636.530,68"
"838","2007-0.235.148-9","AV MONTEMAGNO 00537","AGUA RASA","7.712,48","8.616,83","801.778,80"
"839","2005-0.018.435-2","AL LORENA 00269","JARDIM PAULISTA","550,96","1.099,48","886.749,31"
"840","2008-0.151.298-7","R  IUBATINGA 00014 LT 23 QD 199 VL","VILA ANDRADE","1.270,80","1.906,20","411.897,41"
"841","2007-0.102.969-9","R  BARAO DO RIO BRANCO 00451 451 B","SANTO AMARO","212,06","65,01","23.921,08"
"842","2008-0.049.393-8","AV SANTO ALBANO 99999 JTO DEP 870","SACOMA","6.901,00","8.361,05","816.573,59"
"843","2008-0.075.958-0","R  SANTO EGIDIO 00681","SANTANA","5.149,31","2.574,58","303.342,16"
"844","2007-0.393.912-9","R  OCARINA 99999 LT 16 E 17 QD 46","JABAQUARA","875,00","169,43","20.775,85"
"845","2008-0.200.305-9","","VILA MARIANA","0,00","2.500,00","0,00"
"846","2008-0.037.049-6","R  CAPITAL FEDERAL 00513 517","PERDIZES","2.211,25","2.324,79","757.844,34"
"847","2007-0.239.076-0","R  OLAVO EGIDIO DE SOUZA ARANHA 01570 LT 37","ERMELINO MATARAZZO","468,00","46,41","2.418,19"
"848","2007-0.299.136-4","R  PEDRO BELLEGARDE 00250","TATUAPE","1.173,05","2.106,37","265.579,56"
"849","2007-0.249.169-8","R  DA MOOCA 04186 E 4186 A","AGUA RASA","2.390,40","1.193,27","131.185,72"
"850","2007-0.342.158-8","R  CARLOS SILVA 00395","CARRAO","8.183,79","7.949,51","558.055,60"
"851","2008-0.027.235-4","R  TABAJARAS 00076","MOOCA","4.803,64","4.803,64","526.719,13"
"852","2008-0.107.537-4","R  JOCELINO DA CRUZ 00090","SAUDE","2.500,00","1.291,00","232.811,19"
"853","2008-0.164.402-6","R  DOS MACAXAS 00031","IPIRANGA","2.597,00","5.005,39","687.054,85"
"854","2008-0.162.545-5","AV DEPUTADO EMILIO CARLOS 03555","CACHOEIRINHA","4.474,70","2.212,78","128.699,71"
"855","2004-0.152.701-4","AV PREFEITO FABIO PRADO 99999","VILA MARIANA","1.490,93","1.020,52","346.877,81"
"856","2008-0.121.366-1","R  CAETANOS 00202","AGUA RASA","4.968,15","4.953,63","897.092,49"
"857","2008-0.094.909-5","R  TOGO 99999","VILA MARIA","2.680,66","1.340,18","66.998,28"
"858","2007-0.174.141-0","AV SANTA MARINA 01544 1588","BARRA FUNDA","9.749,90","12.148,04","2.011.496,76"
"859","2007-0.397.304-1","R  CANDIDO LACERDA 99999","VILA FORMOSA","2.810,50","823,71","226.849,73"
"859","2007-0.397.304-1","R  CANDIDO LACERDA 99999","VILA FORMOSA","2.810,50","4.796,54","883.062,20"
"860","2008-0.034.658-7","R MARIO WHATELY 00280","LAPA","3.849,90","1.920,90","277.347,23"
"861","2008-0.132.270-3","R  FRANCISCO OTAVIANO 00043","MOOCA","2.996,95","2.428,86","315.304,89"
"862","2006-0.185.282-2","AV CELSO GARCIA 00623","BELEM","23.105,44","10.469,02","0,00"
"863","2008-0.014.247-7","R  DELEGADO MORAES NOVAES 00125 LT 21 QD 66","VILA ANDRADE","2.630,00","59,94","12.952,02"
"863","2008-0.014.247-7","R  DELEGADO MORAES NOVAES 00125 LT 21 QD 66","VILA ANDRADE","2.630,00","1.283,32","158.464,35"
"864","2007-0.091.438-9","AV JAIME TORRES 01287","PONTE RASA","200,00","40,00","2.023,56"
"865","2007-0.307.889-1","R  CAYOWAA 01903 CS 10","PERDIZES","103,00","25,11","13.329,57"
"866","2003-0.259.059-1","R  TORRINHA 00276 296","TATUAPE","4.647,00","2.492,06","466.812,68"
"867","2008-0.133.663-1","R  CIPRIANO BARATA 03283 3287","IPIRANGA","3.621,82","1.810,52","265.297,31"
"868","2007-0.131.224-2","AV DOUTOR HUGO BEOLCHI 99999","JABAQUARA","1.161,58","2.321,54","333.742,27"
"869","2008-0.041.105-2","R  CIPRIANO BARATA 01534 JTO N 1512","IPIRANGA","1.048,00","75,79","11.907,75"
"870","2007-0.236.070-4","AV VEREADOR JOAO DE LUCA 01001 R LAT FAKURI 545","JABAQUARA","7.973,02","3.894,84","325.928,00"
"871","2008-0.134.473-1","R  TOKUCHIKA MIKI 00530 534 538","VILA PRUDENTE","300,00","41,38","3.410,37"
"872","2005-0.290.212-0","R  CARDOSO DE ALMEIDA 00986","PERDIZES","4.764,34","1.206,17","511.783,96"
"873","2008-0.075.925-3","R  COLANTONIO 99999 LT-18 QD-184","VILA ANDRADE","6.690,50","3.344,18","238.480,16"
"874","2007-0.310.596-1","R  LUIZ DOS SANTOS CABRAL 99999","VILA FORMOSA","1.139,00","2.186,77","402.593,10"
"875","2007-0.391.409-6","R  TUTOIA 99999","MOEMA","1.262,00","1.262,00","906.469,36"
"876","2005-0.022.289-0","R  PERCILIO NETO 00131","CURSINO","1.956,11","3.912,14","761.904,91"
"877","2008-0.192.945-4","R  CAIO GRACO 00201","LAPA","1.195,58","592,38","101.272,10"
"878","2008-0.090.241-2","R  AMARO BEZERRA CAVALCANTI 00687","VILA MATILDE","1.732,42","568,93","38.498,36"
"879","2010-0.027.822-7","R  JOAQUIM CARLOS 01236 PARI","PARI","7.681,05","10,04","1.313,23"
"879","2010-0.027.822-7","R  JOAQUIM CARLOS 01236 PARI","PARI","7.681,05","3.746,82","465.355,04"
"879","2010-0.027.822-7","R  JOAQUIM CARLOS 01236 PARI","PARI","7.681,05","3.756,86","466.602,01"
"880","2007-0.101.155-2","R NOSSA SENHORA DAS MERCES 00628","SACOMA","1.782,60","3.564,84","267.355,87"
"881","2008-0.165.668-7","R  NEBRASKA 99999","ITAIM BIBI","1.000,00","833,13","295.019,66"
"882","2008-0.258.425-6","R  ELVIRA FERRAZ 00260 E 268","ITAIM BIBI","3.468,81","4.310,80","2.680.886,52"
"883","2008-0.079.156-4","R  FIDALGA 00772","PINHEIROS","915,77","915,38","405.444,69"
"884","2007-0.380.338-3","R  LUIZ DOS SANTOS CABRAL 99999","VILA FORMOSA","1.246,14","2.471,68","455.046,17"
"885","2008-0.151.894-2","R  TAMARATACA 00345 PQ DA MOOCA","MOOCA","72,93","11,25","2.333,75"
"886","2007-0.265.761-8","R  CUBATAO 00060","VILA MARIANA","2.089,81","72,62","58.596,35"
"887","2008-0.215.328-0","R  LUPE COTRIM GARAUDE 00047","SAO LUCAS","228,70","73,63","8.061,60"
"888","2008-0.166.088-9","R  EPAMINONDAS MELO DO AMARAL 01281 1289 E 1299","CASA VERDE","4.068,62","330,45","9.555,62"
"889","2008-0.153.344-5","R  CAMPO LARGO 00369","AGUA RASA","2.000,00","999,88","111.790,58"
"890","2007-0.343.806-5","R  FIDALGA 00782 E FDS","PINHEIROS","1.100,00","1.097,30","486.021,60"
"891","2007-0.379.360-4","AV IMIRIM 99999","SANTANA","1.989,55","788,94","106.289,15"
"892","2008-0.158.457-0","R  HADDOCK LOBO 01415 E 1421","JARDIM PAULISTA","628,33","15,50","15.971,76"
"893","2007-0.382.266-3","R  DOUTOR FABRICIO VAMPRE 00231","VILA MARIANA","1.273,52","647,48","254.106,76"
"894","2005-0.326.416-0","R  PASCOAL RANIERI MAZZILLI 00233","SAO LUCAS","10.897,94","5.317,45","236.094,78"
"895","2007-0.391.352-9","R  DO BOQUEIRAO 00305","CURSINO","8.835,72","2.099,15","305.254,19"
"896","2007-0.333.777-3","R  AMERICANA 00032","VILA FORMOSA","3.122,00","1.524,93","329.464,94"
"897","2006-0.051.709-4","R  JOAO DE LACERDA SOARES 00050 JTO AO N 58","ITAIM BIBI","913,07","357,25","102.612,92"
"898","2008-0.158.192-0","R. CABO ANTONIO PITON, S/ N°","VILA MARIA","7.178,56","4.011,88","201.909,89"
"899","2008-0.194.030-0","AV VILA EMA 01899","AGUA RASA","8.619,23","2.516,74","139.550,72"
"899","2008-0.194.030-0","AV VILA EMA 01899","AGUA RASA","8.619,23","5.299,23","528.906,61"
"900","2002-0.161.027-9","AV PADRE ANTONIO JOSE DOS SANTOS 99999","ITAIM BIBI","458,29","224,43","86.567,14"
"901","2008-0.182.315-0","PC PADRE MARIO FONTANA 00050","MOOCA","2.859,79","2.747,76","455.836,90"
"902","2007-0.397.301-7","R  EUNICE WEAVER 00053","VILA FORMOSA","2.180,44","4.352,37","801.288,73"
"903","2008-0.125.067-2","R  FRANCISCO X.PAES BARRETO 00115 LT 67 QD 2","PENHA","100,00","32,19","1.161,35"
"904","2007-0.393.319-8","R  HENRIQUE SOUSA QUEIROS 00240","PENHA","150,00","43,77","5.650,44"
"905","2008-0.077.497-0","R  DONA VITORIA SPEERS 00338","VILA FORMOSA","5.888,00","1.472,00","118.896,38"
"906","2008-0.151.838-1","R  PROF MARCONDES DOMINGUES 00343","TUCURUVI","1.560,00","308,26","36.440,03"
"907","2008-0.121.029-8","ES DO CAMPO LIMPO 00143","CAPAO REDONDO","9.623,55","14.415,11","982.793,37"
"908","2008-0.190.436-2","PC WILHELM BERNAUER 00116","VILA PRUDENTE","5.575,18","5.246,53","870.651,16"
"909","2007-0.391.550-5","AV SUSANA 00093","CURSINO","1.508,40","2.929,56","570.543,53"
"910","2008-0.177.888-0","R  DELMIRA FERREIRA 00291","CURSINO","4.528,09","8.980,84","1.749.054,51"
"911","2008-0.264.537-9","R MARCELINA 00210","LAPA","2.404,00","2.241,43","397.297,95"
"912","2008-0.250.739-1","R  PADRE JOSE DE ANCHIETA 00371 379 A 393","SANTO AMARO","2.400,00","4.799,24","661.632,82"
"913","2003-0.321.370-8","R  DIANA 00886","PERDIZES","749,51","1.098,33","360.435,66"
"914","2008-0.206.630-1","AV NELSON PALMA TRAVASSOS 00233 LT 2 QD I 1","JARAGUA","5.160,00","654,32","14.133,31"
"914","2008-0.206.630-1","AV NELSON PALMA TRAVASSOS 00233 LT 2 QD I 1","JARAGUA","5.160,00","728,61","15.737,98"
"914","2008-0.206.630-1","AV NELSON PALMA TRAVASSOS 00233 LT 2 QD I 1","JARAGUA","5.160,00","2.185,83","26.229,96"
"915","2008-0.072.627-4","R  EUNICE WEAVER 00117 LT 23 QD 2","VILA FORMOSA","1.753,05","3.410,73","627.929,04"
"916","2005-0.022.488-5","R  GRADAU 00138","VILA PRUDENTE","1.242,50","1.223,12","146.306,56"
"917","2007-0.375.761-6","AV DOUTOR GENTIL DE MOURA 00655 657","IPIRANGA","973,59","517,73","46.051,57"
"918","2008-0.197.320-8","R  DR   JOSE OSORIO DE O. AZEVEDO 99999 ENT 19 E 35","SAUDE","520,00","322,00","47.856,93"
"919","2005-0.022.287-4","R PROF JOAO DE OLIVEIRA TORRES 99999 LT 4","VILA FORMOSA","7.785,00","5.204,74","1.066.099,91"
"920","2008-0.085.677-1","R  JANDIATUBA 00004 LT 4 QD 196 VL A","VILA ANDRADE","1.030,40","1.543,20","333.459,29"
"921","2006-0.345.496-4","R  CELSO DE AZEVEDO MARQUES 00334","MOOCA","2.043,00","2.042,75","224.171,39"
"922","2008-0.136.222-5","R  PIRACUAMA 00428","PERDIZES","600,00","299,08","104.288,00"
"923","2007-0.379.439-2","AV ANGELICA 01987","CONSOLACAO","1.572,00","1.661,19","743.960,79"
"924","2008-0.048.586-2","R  BARAO DO RIO BRANCO 00279 283","SANTO AMARO","17.189,52","7.691,19","2.830.050,27"
"924","2008-0.048.586-2","R  BARAO DO RIO BRANCO 00279 283","SANTO AMARO","17.189,52","190,59","100.479,05"
"925","2008-0.331.869-0","R  SUSSUI 00060","MOOCA","3.527,84","3.479,52","677.114,59"
"926","2008-0.307.672-6","R  DO FICO 00191 195","IPIRANGA","3.901,00","7.802,00","1.234.373,93"
"927","2008-0.260.758-2","AV REGENTE FEIJO 01739 CARREFOUR E","VILA FORMOSA","116.724,00","32.900,00","6.748.711,20"
"927","2008-0.260.758-2","AV REGENTE FEIJO 01739 CARREFOUR E","VILA FORMOSA","116.724,00","16.076,46","5.975.620,18"
"928","2003-0.331.607-8","R  OTAVIO NEBIAS 00154","VILA MARIANA","980,00","279,80","312.256,80"
"928","2003-0.331.607-8","R  OTAVIO NEBIAS 00154","VILA MARIANA","980,00","840,00","624.960,00"
"929","2007-0.362.161-7","R  CORONEL GUSTAVO SANTIAGO 00251 265 281","TATUAPE","3.195,74","6.381,37","1.056.123,12"
"930","2007-0.391.462-2","R  ITATUPA 00001 LT 20 QD 90 VL A","VILA ANDRADE","4.908,90","4.011,61","590.605,27"
"931","2007-0.392.840-2","R. SÃO JOSÉ, 150","SANTO AMARO","0,00","7.160,11","1.497.651,57"
"932","2008-0.153.732-7","R  CARAMURU 00165","SAUDE","2.431,16","1.206,19","217.035,80"
"933","2008-0.013.735-0","R  VENANCIO AIRES 00447","PERDIZES","1.080,00","236,23","261.034,15"
"933","2008-0.013.735-0","R  VENANCIO AIRES 00447","PERDIZES","1.080,00","360,06","229.066,57"
"934","2008-0.185.263-0","R  ALENCAR ARARIPE 01150","SACOMA","3.057,00","3.147,46","170.397,19"
"935","2007-0.352.486-7","R  CHIPRE 00180","ITAIM BIBI","7.212,41","10.788,88","9.986.144,17"
"936","2008-0.015.816-0","R  SANTA BRANCA 00078","BELA VISTA","1.280,11","1.918,50","1.827.486,36"
"937","2005-0.022.257-2","R  HENRIQUE MONTEIRO 00055","PINHEIROS","977,80","1.466,70","1.257.563,25"
"938","2005-0.022.292-0","R  CONS MOREIRA DE BARROS 99999","MANDAQUI","2.064,71","580,81","189.140,78"
"938","2005-0.022.292-0","R  CONS MOREIRA DE BARROS 99999","MANDAQUI","2.064,71","2.516,14","281.582,49"
"939","2003-0.331.483-0","R  PEDROSO ALVARENGA 00691 697 705","ITAIM BIBI","1.512,00","1.512,00","937.092,24"
"940","2006-0.089.839-0","R  JAIBARAS 00127","MOOCA","1.600,00","330,02","68.153,75"
"941","2008-0.269.473-6","R  BARAO DE SANTO ANGELO 00382 FREGUESIA DO O","BRASILANDIA","4.832,50","198,29","13.264,56"
"941","2008-0.269.473-6","R  BARAO DE SANTO ANGELO 00382 FREGUESIA DO O","BRASILANDIA","4.832,50","1.913,54","71.114,32"
"942","2008-0.094.025-0","R  ITAJARA 00000 LT 15 QD 92 VL A","VILA ANDRADE","2.488,30","2.420,72","401.510,30"
"943","2008-0.177.797-2","R  DOUTOR ELISIO DE CASTRO 00359","IPIRANGA","1.010,00","1.010,00","246.502,62"
