msp_module,port,name
sap_soap_th_saprel_disclosure.rb,8000,SAP /sap/bc/soap/rfc SOAP Service TH_SAPREL Function Information Disclosure
sap_web_gui_brute_login.rb,8000,SAP Web GUI Login Brute Forcer
digi_addp_reboot.rb,2362,Digi ADDP Remote Reboot Initiator
digi_addp_version.rb,2362,Digi ADDP Information Discovery
koyo_login.rb,28784,Koyo DirectLogic PLC Password Brute Force Utility
modbus_findunitid.rb,502,Modbus Unit ID and Station ID Enumerator
modbusclient.rb,502,Modbus Client Utility
modbusdetect.rb,502,Modbus Version Scanner
moxa_discover.rb,4800,Moxa UDP Device Discovery
sielco_winlog_fileaccess.rb,46824,Sielco Sistemi Winlog Remote File Access
enumerator_tcp.rb,5060,SIP Username Enumerator (TCP)
enumerator.rb,5060,SIP Username Enumerator (UDP)
options_tcp.rb,5060,SIP Endpoint Scanner (TCP)
options.rb,5060,SIP Endpoint Scanner (UDP)
smb1.rb,445,SMBv1 Protocol Detection
smb2.rb,445,SMB 2.0 Protocol Detection
smtp_enum.rb,25,SMTP User Enumeration Utility
smtp_ntlm_domain.rb,25,SMTP NTLM Domain Extraction
snmp_login.rb,161,SNMP Community Login Scanner
apache_karaf_command_execution.rb,8101,"""Apache Karaf Default Credentials Command Execution"","
cerberus_sftp_enumusers.rb,22,Cerberus FTP Server SFTP Username Enumeration
detect_kippo.rb,22,Kippo SSH Honeypot Detector
fortinet_backdoor.rb,22,Fortinet SSH Backdoor Scanner
juniper_backdoor.rb,22,Juniper SSH Backdoor Scanner
karaf_login.rb,8101,Apache Karaf Login Utility
ssh_enumusers.rb,22,SSH Username Enumeration
ssh_identify_pubkeys.rb,22,SSH Public Key Acceptance Scanner
ssh_login_pubkey.rb,22,SSH Public Key Login Scanner
ssh_login.rb,22,SSH Login Check Scanner
ssh_version.rb,22,SSH Version Scanner
openssl_ccs.rb,443,OpenSSL Server-Side ChangeCipherSpec Injection Scanner
openssl_heartbleed.rb,443,OpenSSL Heartbeat (Heartbleed) Information Leak
server_info.rb,27015,Gather Steam Server Information
lantronix_telnet_password.rb,30718,Lantronix Telnet Password Recovery
lantronix_telnet_version.rb,9999,Lantronix Telnet Service Banner Detection
satel_cmd_exec.rb,5000,Satel Iberia SenNet Data Logger and Electricity Meters Command Injection Vulnerability
telnet_encrypt_overflow.rb,23,Telnet Service Encryption Key ID Overflow Detection
telnet_ruggedcom.rb,23,RuggedCom Telnet Password Generator
telnet_version.rb,23,Telnet Service Banner Detection
ipswitch_whatsupgold_tftp.rb,69,"""IpSwitch WhatsUp Gold TFTP Directory Traversal"","
netdecision_tftp.rb,69,"""NetDecision 4.2 TFTP Directory Traversal"","
tftpbrute.rb,69,TFTP Brute Forcer
example.rb,12345,UDP Scanner Example
ssdp_amp.rb,1900,SSDP ssdp:all M-SEARCH Amplification Scanner
ssdp_msearch.rb,1900,UPnP SSDP M-SEARCH Information Discovery
varnish_cli_login.rb,6082,Varnish Cache CLI Login Utility
esx_fingerprint.rb,443,VMWare ESX/ESXi Fingerprint Scanner
vmauthd_login.rb,902,VMWare Authentication Daemon Login Scanner
vmauthd_version.rb,902,VMWare Authentication Daemon Version Scanner
vmware_enum_permissions.rb,443,VMWare Enumerate Permissions
vmware_enum_sessions.rb,443,VMWare Enumerate Active Sessions
vmware_enum_users.rb,443,VMWare Enumerate User Accounts
vmware_enum_vms.rb,443,VMWare Enumerate Virtual Machines
vmware_host_details.rb,443,VMWare Enumerate Host Details
vmware_http_login.rb,443,VMWare Web Login Scanner
vmware_screenshot_stealer.rb,443,VMWare Screenshot Stealer
vmware_server_dir_trav.rb,8222,VMware Server Directory Traversal Vulnerability
vmware_update_manager_traversal.rb,9084,"""VMWare Update Manager 4 Directory Traversal"","
ard_root_pw.rb,5900,Apple Remote Desktop Root Vulnerability
vnc_login.rb,5900,VNC Authentication Scanner
vnc_none_auth.rb,5900,VNC Authentication None Detection
wdbrpc_bootline.rb,17185,VxWorks WDB Agent Boot Parameter Scanner
wdbrpc_version.rb,17185,VxWorks WDB Agent Version Scanner
wsdd_query.rb,3702,WS-Discovery Information Discovery
open_x11.rb,6000,X11 No-Auth Scanner
asterisk_login.rb,5038,Asterisk Manager Login Utility
sip_deregister.rb,5060,SIP Deregister Extension
sip_invite_spoof.rb,5060,SIP Invite Spoof
adb_server_exec.rb,5555,Android ADB Debug Server Remote Payload Execution
cydia_default_ssh.rb,22,"""Apple iOS Default SSH Password Vulnerability"","
proftp_telnet_iac.rb,21,ProFTPD 1.3.2rc3 - 1.3.3b Telnet IAC Buffer Overflow (FreeBSD)
watchguard_cmd_exec.rb,443,Watchguard XCS Remote Command Execution
trans2open.rb,139,Samba trans2open Overflow (*BSD x86)
xtacacsd_report.rb,49,XTACACSD report() Buffer Overflow
cleanup_exec.rb,515,HP-UX LPD Command Execution
tagprinter_exec.rb,515,Irix LPD tagprinter Command Execution
escan_password_exec.rb,10080,"""eScan Web Management Console Command Injection"","
proftp_telnet_iac.rb,21,ProFTPD 1.3.2rc3 - 1.3.3b Telnet IAC Buffer Overflow (Linux)
ut2004_secure.rb,7787,"Unreal Tournament 2004 ""secure"" Overflow (Linux)"
accellion_fta_getstatus_oauth.rb,443,Accellion FTA getStatus verify_oauth_token Command Execution
advantech_switch_bash_env_exec.rb,80,Advantech Switch Bash Environment Variable Code Injection (Shellshock)
alcatel_omnipcx_mastercgi_exec.rb,443,Alcatel-Lucent OmniPCX Enterprise masterCGI Arbitrary Command Execution
alienvault_exec.rb,443,"""AlienVault OSSIM/USM Remote Code Execution"","
alienvault_sqli_exec.rb,443,"""AlienVault OSSIM SQL Injection and Remote Code Execution"","
apache_continuum_cmd_exec.rb,8080,Apache Continuum Arbitrary Command Execution
asuswrt_lan_rce.rb,9999,AsusWRT LAN Unauthenticated Remote Code Execution
centreon_useralias_exec.rb,80,Centreon Web Useralias Command Execution
cfme_manageiq_evm_upload_exec.rb,443,Red Hat CloudForms Management Engine 5.1 agent/linuxpkgs Path Traversal
crypttech_cryptolog_login_exec.rb,80,"""Crypttech CryptoLog Remote Code Execution"","
dcos_marathon.rb,8080,DC/OS Marathon UI Docker Exploit
dlink_hnap_login_bof.rb,80,Dlink DIR Routers Unauthenticated HNAP Login Stack Buffer Overflow
dlink_upnp_exec_noauth.rb,49152,D-Link Devices UPnP SOAP Command Execution
docker_daemon_tcp.rb,2375,Docker Daemon - Unprotected TCP Socket Exploit
empire_skywalker.rb,8080,PowerShellEmpire Arbitrary File Upload (Skywalker)
f5_icall_cmd.rb,443,"""F5 iControl iCall::Script Root Command Execution"","
f5_icontrol_exec.rb,443,"""F5 iControl Remote Root Command Execution"","
foreman_openstack_satellite_code_exec.rb,443,Foreman (Red Hat OpenStack/Satellite) bookmarks/create Code Injection
gpsd_format_string.rb,2947,Berlios GPSD Format String Vulnerability
hp_system_management.rb,2381,HP System Management Anonymous Access Code Execution
ipfire_bashbug_exec.rb,444,IPFire Bash Environment Variable Injection (Shellshock)
ipfire_oinkcode_exec.rb,444,IPFire proxy.cgi RCE
ipfire_proxy_exec.rb,444,IPFire proxy.cgi RCE
kloxo_sqli.rb,7778,Kloxo SQL Injection and Remote Code Execution
lifesize_uvc_ping_rce.rb,443,"""LifeSize UVC Authenticated RCE via Ping"","
mutiny_frontend_upload.rb,80,Mutiny 5 Arbitrary File Upload
netgear_dnslookup_cmd_exec.rb,80,"""Netgear DGN2200 dnslookup.cgi Command Injection"","
netgear_r7000_cgibin_exec.rb,80,"""Netgear R7000 and R6400 cgi-bin Command Injection"","
netgear_readynas_exec.rb,443,NETGEAR ReadyNAS Perl Code Evaluation
netgear_wnr2000_rce.rb,80,NETGEAR WNR2000v5 (Un)authenticated hidden_lang_avi Stack Overflow
nuuo_nvrmini_auth_rce.rb,8081,NUUO NVRmini 2 / Crystal / NETGEAR ReadyNAS Surveillance Authenticated Remote Code Execution
nuuo_nvrmini_unauth_rce.rb,8081,NUUO NVRmini 2 / NETGEAR ReadyNAS Surveillance Unauthenticated Remote Code Execution
op5_config_exec.rb,443,op5 v7.1.9 Configuration Command Execution
openfiler_networkcard_exec.rb,446,"""Openfiler v2.x NetworkCard Command Execution"","
pandora_fms_exec.rb,8023,"""Pandora FMS Remote Code Execution"","
panos_readsessionvars.rb,443,Palo Alto Networks readSessionVarsFromFile() Session Corruption
peercast_url.rb,7144,PeerCast URL Handling Buffer Overflow
pineapp_ldapsyncnow_exec.rb,7443,PineApp Mail-SeCure ldapsyncnow.php Arbitrary Command Execution
pineapp_livelog_exec.rb,7443,PineApp Mail-SeCure livelog.html Arbitrary Command Execution
pineapp_test_li_conn_exec.rb,7443,PineApp Mail-SeCure test_li_connection.php Arbitrary Command Execution
pineapple_bypass_cmdinject.rb,1471,Hak5 WiFi Pineapple Preconfiguration Command Injection
pineapple_preconfig_cmdinject.rb,1471,Hak5 WiFi Pineapple Preconfiguration Command Injection
rancher_server.rb,8080,Rancher Server - Docker Exploit
realtek_miniigd_upnp_exec_noauth.rb,52869,Realtek SDK Miniigd UPnP SOAP Command Execution
riverbed_netprofiler_netexpress_exec.rb,443,"""Riverbed SteelCentral NetProfiler/NetExpress Remote Code Execution"","
sophos_wpa_iface_exec.rb,443,Sophos Web Protection Appliance Interface Authenticated Arbitrary Command Execution
sophos_wpa_sblistpack_exec.rb,443,Sophos Web Protection Appliance sblistpack Arbitrary Command Execution
supervisor_xmlrpc_exec.rb,9001,"""Supervisor XML-RPC Authenticated Remote Code Execution"","
symantec_messaging_gateway_exec.rb,443,"""Symantec Messaging Gateway Remote Code Execution"","
synology_dsm_sliceupload_exec_noauth.rb,5000,"""Synology DiskStation Manager SLICEUPLOAD Remote Command Execution"","
tiki_calendar_exec.rb,80,Tiki-Wiki CMS Calendar Command Execution
tr064_ntpserver_cmdinject.rb,7547,Zyxel/Eir D1000 DSL Modem NewNTPServer Command Injection Over TR-064
trend_micro_imsva_exec.rb,8445,Trend Micro InterScan Messaging Security (Virtual Appliance) Remote Code Execution
trueonline_billion_5200w_rce.rb,80,TrueOnline / Billion 5200W-T Router Unauthenticated Command Injection
trueonline_p660hn_v1_rce.rb,80,TrueOnline / ZyXEL P660HN-T v1 Router Unauthenticated Command Injection
trueonline_p660hn_v2_rce.rb,80,TrueOnline / ZyXEL P660HN-T v2 Router Authenticated Command Injection
ueb9_api_storage.rb,443,Unitrends UEB 9 http api/storage remote root
zen_load_balancer_exec.rb,444,"""ZEN Load Balancer Filelog Command Execution"","
zenoss_showdaemonxmlconfig_exec.rb,8080,Zenoss 3 showDaemonXMLConfig Command Execution
alienvault_centerd_soap_exec.rb,40007,AlienVault OSSIM av-centerd Command Injection
snortbopre.rb,9080,Snort Back Orifice Pre-Preprocessor Buffer Overflow
accellion_fta_mpipe2.rb,8812,Accellion FTA MPIPE2 Command Execution
asus_infosvr_auth_bypass_exec.rb,9999,ASUS infosvr Auth Bypass Command Execution
drb_remote_codeexec.rb,8787,Distributed Ruby Remote Code Execution
gld_postfix.rb,2525,GLD (Greylisting Daemon) Postfix Buffer Overflow
hikvision_rtsp_bof.rb,554,Hikvision DVR RTSP Request Remote Code Execution
hp_data_protector_cmd_exec.rb,5555,HP Data Protector 6 EXEC_CMD Remote Code Execution
hp_nnmi_pmd_bof.rb,7426,HP Network Node Manager I PMD Buffer Overflow
hplip_hpssd_exec.rb,2207,HPLIP hpssd.py From Address Arbitrary Command Execution
ib_inet_connect.rb,3050,Borland InterBase INET_connect() Buffer Overflow
ib_jrd8_create_database.rb,3050,Borland InterBase jrd8_create_database() Buffer Overflow
ib_open_marker_file.rb,3050,Borland InterBase open_marker_file() Buffer Overflow
ib_pwd_db_aliased.rb,3050,Borland InterBase PWD_db_aliased() Buffer Overflow
lprng_format_string.rb,515,LPRng use_syslog Remote Format String Vulnerability
mongod_native_helper.rb,27017,MongoDB nativeHelper.apply Remote Code Execution
nagios_nrpe_arguments.rb,5666,Nagios Remote Plugin Executor Arbitrary Command Execution
netcore_udp_53413_backdoor.rb,53413,Netcore Router Udp 53413 Backdoor
netsupport_manager_agent.rb,5405,NetSupport Manager Agent Remote Buffer Overflow
novell_edirectory_ncp_bof.rb,524,Novell eDirectory 8 Buffer Overflow
opennms_java_serialize.rb,1099,OpenNMS Java Object Unserialization Remote Code Execution
qnap_transcode_server.rb,9251,QNAP Transcode Server Command Execution
quest_pmmasterd_bof.rb,12345,Quest Privilege Manager pmmasterd Buffer Overflow
sercomm_exec.rb,32764,"""SerComm Device Remote Code Execution"","
ueb9_bpserverd.rb,1743,Unitrends UEB bpserverd authentication bypass RCE
zabbix_server_exec.rb,10051,Zabbix Server Arbitrary Command Execution
mysql_yassl_getname.rb,3306,MySQL yaSSL CertDecoder::GetName Buffer Overflow
mysql_yassl_hello.rb,3306,MySQL yaSSL SSL Hello Message Buffer Overflow
cyrus_pop3d_popsubfolders.rb,110,Cyrus IMAPD pop3d popsubfolders USER Buffer Overflow
poptop_negative_read.rb,1723,Poptop Negative Read Overflow
chain_reply.rb,139,Samba chain_reply Memory Corruption (Linux x86)
trans2open.rb,139,Samba trans2open Overflow (Linux x86)
exim_gethostbyname_bof.rb,25,Exim GHOST (glibc gethostbyname) Buffer Overflow
ceragon_fibeair_known_privkey.rb,22,Ceragon FibeAir IP-10 SSH Private Key Exposure
exagrid_known_privkey.rb,22,ExaGrid Known SSH Key and Default Password
f5_bigip_known_privkey.rb,22,F5 BIG-IP SSH Private Key Exposure
loadbalancerorg_enterprise_known_privkey.rb,22,Loadbalancer.org Enterprise VA SSH Private Key Exposure
mercurial_ssh_exec.rb,22,"""Mercurial Custom hg-ssh Wrapper Remote Code Exec"","
quantum_dxi_known_privkey.rb,22,Quantum DXi V1000 SSH Private Key Exposure
quantum_vmpro_backdoor.rb,22,"""Quantum vmPRO Backdoor Command"","
solarwinds_lem_exec.rb,32022,"""SolarWind LEM Default SSH Password Remote Code Execution"","
symantec_smg_ssh.rb,22,"""Symantec Messaging Gateway 9.5 Default SSH Password Vulnerability"","
ubiquiti_airos_file_upload.rb,443,Ubiquiti airOS Arbitrary File Upload
vmware_vdp_known_privkey.rb,22,VMware VDP Known SSH Key
netgear_telnetenable.rb,23,NETGEAR TelnetEnable
dlink_upnp_msearch_exec.rb,1900,D-Link Unauthenticated UPnP M-SEARCH Multicast Command Injection
miniupnpd_soap_bof.rb,5555,MiniUPnPd 1.0 Stack Buffer Overflow Remote Code Execution
ftp_jcl_creds.rb,21,FTP JCL Execution
script_mvel_rce.rb,9200,ElasticSearch Dynamic Script Arbitrary Java Execution
search_groovy_script.rb,9200,ElasticSearch Search Groovy Sandbox Bypass
pureftpd_bash_env_exec.rb,21,Pure-FTPd External Authentication Bash Environment Variable Code Injection (Shellshock)
wuftpd_site_exec_format.rb,21,WU-FTPD SITE EXEC/INDEX Format String Vulnerability
apache_activemq_upload_jsp.rb,8161,ActiveMQ web shell upload
apache_jetspeed_file_upload.rb,8080,Apache Jetspeed Arbitrary File Upload
apache_roller_ognl_injection.rb,8080,Apache Roller OGNL Injection
axis2_deployer.rb,8080,Axis2 / SAP BusinessObjects Authenticated Code Execution (via SOAP)
bassmaster_js_injection.rb,8080,Bassmaster Batch Arbitrary JavaScript Injection Remote Code Execution
cups_bash_env_exec.rb,631,CUPS Filter Bash Environment Variable Code Injection (Shellshock)
eaton_nsm_code_exec.rb,4679,Network Shutdown Module (sort_values) Remote PHP Code Injection
eventlog_file_upload.rb,8400,ManageEngine Eventlog Analyzer Arbitrary File Upload
glassfish_deployer.rb,4848,"""Sun/Oracle GlassFish Server Authenticated Code Execution"","
hp_sitescope_issuesiebelcmd.rb,8080,HP SiteScope issueSiebelCmd Remote Code Execution
hp_sitescope_uploadfileshandler.rb,8080,HP SiteScope Remote Code Execution
hp_sys_mgmt_exec.rb,2381,"""HP System Management Homepage JustGetSNMPQueue Command Injection"","
hyperic_hq_script_console.rb,7443,VMware Hyperic HQ Groovy Script-Console Java Execution
jboss_bshdeployer.rb,8080,JBoss JMX Console Beanshell Deployer WAR Upload and Deployment
jboss_deploymentfilerepository.rb,8080,JBoss Java Class DeploymentFileRepository WAR Deployment
jboss_invoke_deploy.rb,8080,JBoss DeploymentFileRepository WAR Deployment (via JMXInvokerServlet)
jboss_maindeployer.rb,8080,JBoss JMX Console Deployer Upload and Execute
jboss_seam_upload_exec.rb,8080,JBoss Seam 2 File Upload and Execute
manageengine_auth_upload.rb,8080,ManageEngine Multiple Products Authenticated File Upload
manageengine_sd_uploader.rb,8080,ManageEngine ServiceDesk Plus Arbitrary File Upload
metasploit_static_secret_key_base.rb,3790,Metasploit Web UI Static secret_key_base Value
netwin_surgeftp_exec.rb,7021,Netwin SurgeFTP Remote Command Execution
op5_license.rb,443,OP5 license.php Remote Command Execution
op5_welcome.rb,443,OP5 welcome Remote Command Execution
openfire_auth_bypass.rb,9090,Openfire Admin Console Authentication Bypass
opmanager_socialit_file_upload.rb,80,ManageEngine OpManager and Social IT Arbitrary File Upload
oracle_ats_file_upload.rb,8088,Oracle ATS Arbitrary File Upload
orientdb_exec.rb,2480,OrientDB 2.2.x Remote Code Execution
plone_popen2.rb,8080,Plone and Zope XMLTools Remote Command Execution
rails_actionpack_inline_exec.rb,80,Ruby on Rails ActionPack Inline ERB Code Execution
rails_dynamic_render_code_exec.rb,3000,Ruby on Rails Dynamic Render File Upload Remote Code Execution
rails_json_yaml_code_exec.rb,80,Ruby on Rails JSON Processor YAML Deserialization Code Execution
rails_secret_deserialization.rb,80,Ruby on Rails Known Secret Session Cookie Remote Code Execution
rails_web_console_v2_code_exec.rb,3000,Ruby on Rails Web Console (v2) Whitelist Bypass Code Execution
rails_xml_yaml_code_exec.rb,80,Ruby on Rails XML Processor YAML Deserialization Code Execution
rocket_servergraph_file_requestor_rce.rb,8888,Rocket Servergraph Admin Center fileRequestor Remote Code Execution
solarwinds_store_manager_auth_filter.rb,9000,SolarWinds Storage Manager Authentication Bypass
sonicwall_gms_upload.rb,80,SonicWALL GMS 6 Arbitrary File Upload
splunk_mappy_exec.rb,8000,Splunk Search Remote Code Execution
splunk_upload_app_exec.rb,8000,Splunk Custom App Remote Code Execution
struts_code_exec_classloader.rb,8080,Apache Struts ClassLoader Manipulation Remote Code Execution
struts_code_exec_exception_delegator.rb,8080,Apache Struts Remote Command Execution
struts_code_exec_parameters.rb,8080,Apache Struts ParametersInterceptor Remote Code Execution
struts_code_exec.rb,8080,Apache Struts Remote Command Execution
struts_default_action_mapper.rb,8080,Apache Struts 2 DefaultActionMapper Prefixes OGNL Code Execution
struts_dev_mode.rb,8080,Apache Struts 2 Developer Mode OGNL Execution
struts_dmi_exec.rb,8080,Apache Struts Dynamic Method Invocation Remote Code Execution
struts_dmi_rest_exec.rb,8080,Apache Struts REST Plugin With Dynamic Method Invocation Remote Code Execution
struts_include_params.rb,8080,Apache Struts includeParams Remote Code Execution
struts2_code_exec_showcase.rb,8080,Apache Struts 2 Struts 1 Plugin Showcase OGNL Code Execution
struts2_content_type_ognl.rb,8080,Apache Struts Jakarta Multipart Parser OGNL Injection
struts2_rest_xstream.rb,8080,Apache Struts 2 REST Plugin XStream RCE
sysaid_rdslogs_file_upload.rb,8080,"""SysAid Help Desk "
tomcat_jsp_upload_bypass.rb,8080,Tomcat RCE via JSP Upload Bypass
trendmicro_threat_discovery_admin_sys_time_cmdi.rb,443,Trend Micro Threat Discovery Appliance admin_sys_time.cgi Remote Command Execution
uptime_file_upload_1.rb,9999,Idera Up.Time Monitoring Station 7.0 post2file.php Arbitrary File Upload
uptime_file_upload_2.rb,9999,Idera Up.Time Monitoring Station 7.4 post2file.php Arbitrary File Upload
visual_mining_netcharts_upload.rb,8001,Visual Mining NetCharts Server Remote Code Execution
webnms_file_upload.rb,9090,WebNMS Framework Server Arbitrary File Upload
zenworks_configuration_management_upload.rb,443,Novell ZENworks Configuration Management Arbitrary File Upload
zenworks_control_center_upload.rb,443,Novell ZENworks Configuration Management Remote Execution
snort_dce_rpc.rb,139,Snort 2 DCE/RPC Preprocessor Buffer Overflow
arkeia_agent_exec.rb,617,Western Digital Arkeia Remote Code Execution
bmc_server_automation_rscd_nsh_rce.rb,4750,BMC Server Automation RSCD Agent NSH Remote 
hp_data_protector_exec_integutil.rb,5555,HP Data Protector EXEC_INTEGUTIL Remote Code Execution
indesign_server_soap.rb,12345,Adobe IndesignServer 5.5 SOAP Server Arbitrary Script Execution
java_jdwp_debugger.rb,8000,Java Debug Wire Protocol Remote Code Execution
java_rmi_server.rb,1099,Java RMI Server Insecure Default Configuration Java Code Execution
legend_bot_exec.rb,6667,Legend Perl IRC Bot Remote Code Execution
msf_rpc_console.rb,55552,Metasploit RPC Console Command Execution
msfd_rce_remote.rb,55554,Metasploit msfd Remote Code Execution
nodejs_v8_debugger.rb,5858,"""NodeJS Debugger Command Injection"","
openview_omniback_exec.rb,5555,HP OpenView OmniBack II Command Execution
pbot_exec.rb,6667,PHP IRC Bot pbot eval() Remote Code Execution
persistent_hpca_radexec_exec.rb,3465,HP Client Automation Command Injection
ra1nx_pubcall_exec.rb,6667,Ra1NX PHP Bot PubCall Authentication Bypass Remote Code Execution
w3tw0rk_exec.rb,6667,w3tw0rk / Pitbul IRC Bot  Remote Code Execution
wireshark_lwres_getaddrbyname_loop.rb,921,Wireshark LWRES Dissector getaddrsbyname_request Buffer Overflow (loop)
wireshark_lwres_getaddrbyname.rb,921,Wireshark LWRES Dissector getaddrsbyname_request Buffer Overflow
xdh_x_exec.rb,6667,Xdh / LinuxNet Perlbot / fBot IRC Bot Remote Code Execution
zend_java_bridge.rb,10001,Zend Server Java Bridge Arbitrary Java Code Execution
ntp_overflow.rb,123,NTP Daemon readvar Buffer Overflow
postgres_createlang.rb,5432,PostgreSQL CREATE LANGUAGE Execution
nttrans.rb,139,Samba 2.2.2 - 2.2.6 nttrans Buffer Overflow
usermap_script.rb,139,"Samba ""username map script"" Command Execution"
sap_mgmt_con_osexec_payload.rb,50013,SAP Management Console OSExecute Payload Execution
sap_soap_rfc_sxpg_call_system_exec.rb,8000,SAP SOAP RFC SXPG_CALL_SYSTEM Remote Command Execution
sap_soap_rfc_sxpg_command_exec.rb,8000,SAP SOAP RFC SXPG_COMMAND_EXECUTE Remote Command Execution
sshexec.rb,22,SSH User Code Execution
svnserve_date.rb,3690,Subversion Date Svnserve
libupnp_ssdp_overflow.rb,1900,Portable UPnP SDK unique_service_name() Remote Code Execution
vnc_keyboard_exec.rb,5900,VNC Keyboard Remote Code Execution
hagent_untrusted_hsdata.rb,80,Wyse Rapport Hagent Fake Hserver Command Execution
pkernel_callit.rb,111,NetWare 6.5 SunRPC Portmapper CALLIT Stack Buffer Overflow
loginext.rb,548,AppleFileServer LoginExt PathName Overflow
evocam_webserver.rb,8080,MacOS X EvoCam HTTP GET Buffer Overflow
trans2open.rb,139,Samba trans2open Overflow (Mac OS X PPC)
heap_noir.rb,6112,Solaris dtspcd Heap Overflow
sendmail_exec.rb,515,Solaris LPD Command Execution
trans2open.rb,139,Samba trans2open Overflow (Solaris SPARC)
fuser.rb,23,Sun Solaris Telnet Remote Authentication Bypass Vulnerability
ttyprompt.rb,23,Solaris in.telnetd TTYPROMPT Buffer Overflow
vsftpd_234_backdoor.rb,21,VSFTPD v2.3.4 Backdoor Command Execution
contentkeeperweb_mimencode.rb,80,ContentKeeper Web Remote Command Execution
epmp1000_get_chart_cmd_shell.rb,80,"""Cambium ePMP1000 "
epmp1000_ping_cmd_shell.rb,80,"""Cambium ePMP1000 "
pfsense_graph_injection_exec.rb,443,pfSense authenticated graph status RCE
pfsense_group_member_exec.rb,443,pfSense authenticated group member RCE
xdebug_unauth_exec.rb,80,xdebug Unauthenticated OS Command Execution
unreal_ircd_3281_backdoor.rb,6667,UnrealIRCD 3.2.8.1 Backdoor Command Execution
distcc_exec.rb,3632,DistCC Daemon Command Execution
polycom_hdx_traceroute_exec.rb,23,Polycom Shell HDX Series Traceroute Command Execution
qnx_qconn_exec.rb,8000,QNX qconn Command Execution
spamassassin_exec.rb,783,SpamAssassin spamd Remote Command Execution
xerox_mfp.rb,9100,"Xerox Multifunction Printers (MFP) ""Patch"" DLM Vulnerability"
zabbix_agent_exec.rb,10050,Zabbix Agent net.tcp.listen Command Injection
polycom_hdx_auth_bypass.rb,23,Polycom Command Shell Authorization Bypass
array_vxag_vapv_privkey_privesc.rb,22,"""Array Networks vAPV and vxAG Private Key Privilege Escalation Code Execution"","
tectia_passwd_changereq.rb,22,"""Tectia SSH USERAUTH Change Request Password Reset Vulnerability"","
citrix_access_gateway_exec.rb,443,Citrix Access Gateway Command Execution
oracle_vm_agent_utl.rb,8899,Oracle VM Server Virtual Server Agent Command Injection
qtss_parse_xml_exec.rb,1220,QuickTime Streaming Server parse_xml.cgi Remote Execution
tuleap_rest_unserialize_exec.rb,443,Tuleap 9.6 Second-Order PHP Object Injection
tuleap_unserialize_exec.rb,443,Tuleap PHP Unserialize Code Execution
webmin_show_cgi_exec.rb,10000,Webmin /file/show.cgi Remote Command Execution
zimbra_lfi.rb,7071,Zimbra Collaboration Server LFI
x11_keyboard_exec.rb,6000,X11 Keyboard Command Injection
ams_hndlrsvc.rb,38292,Symantec System Center Alert Management System (hndlrsvc.exe) Arbitrary Command Execution
ams_xfr.rb,12174,Symantec System Center Alert Management System (xfr.exe) Arbitrary Command Execution
symantec_endpoint_manager_rce.rb,9090,Symantec Endpoint Protection Manager /servlet/ConsoleServlet Remote Command Execution
symantec_iao.rb,38292,Symantec Alert Management System Intel Alert Originator Service Buffer Overflow
symantec_rtvscan.rb,2967,Symantec Remote Management Buffer Overflow
symantec_workspace_streaming_exec.rb,9855,Symantec Workspace Streaming ManagementAgentServer.putFile XMLRPC Request Arbitrary File Upload
trendmicro_serverprotect_createbinding.rb,5168,Trend Micro ServerProtect 5.58 CreateBinding() Buffer Overflow
trendmicro_serverprotect_earthagent.rb,3628,Trend Micro ServerProtect 5.58 EarthAgent.EXE Buffer Overflow
trendmicro_serverprotect.rb,5168,Trend Micro ServerProtect 5.58 Buffer Overflow
energizer_duo_payload.rb,7777,Energizer DUO USB Battery Charger Arucer.dll Trojan Code Execution
name_service.rb,6101,Veritas Backup Exec Name Service Overflow
remote_agent.rb,10000,Veritas Backup Exec Windows Remote Agent Overflow
ca_arcserve_342.rb,6504,Computer Associates ARCserve REPORTREMOTEEXECUTECML Buffer Overflow
discovery_tcp.rb,41523,CA BrightStor Discovery Service TCP Overflow
discovery_udp.rb,41524,CA BrightStor Discovery Service Stack Buffer Overflow
hsmserver.rb,2000,CA BrightStor HSM Buffer Overflow
lgserver_multi.rb,1900,CA BrightStor ARCserve for Laptops and Desktops LGServer Multiple Commands Buffer Overflow
lgserver_rxrlogin.rb,1900,CA BrightStor ARCserve for Laptops and Desktops LGServer Buffer Overflow
lgserver_rxssetdatagrowthscheduleandfilter.rb,1900,CA BrightStor ARCserve for Laptops and Desktops LGServer rxsSetDataGrowthScheduleAndFilter Buffer Overflow
lgserver_rxsuselicenseini.rb,1900,CA BrightStor ARCserve for Laptops and Desktops LGServer Buffer Overflow
lgserver.rb,1900,CA BrightStor ARCserve for Laptops and Desktops LGServer Buffer Overflow
license_gcr.rb,10202,CA BrightStor ARCserve License Service GCR NETWORK Buffer Overflow
message_engine_72.rb,6504,CA BrightStor ARCserve Message Engine 0x72 Buffer Overflow
message_engine_heap.rb,6503,CA BrightStor ARCserve Message Engine Heap Overflow
message_engine.rb,6503,CA BrightStor ARCserve Message Engine Buffer Overflow
sql_agent.rb,6070,CA BrightStor Agent for Microsoft SQL Overflow
tape_engine_0x8a.rb,6502,CA BrightStor ARCserve Tape Engine 0x8A Buffer Overflow
tape_engine.rb,6502,CA BrightStor ARCserve Tape Engine Buffer Overflow
universal_agent.rb,6050,CA BrightStor Universal Agent Overflow
